,OE
1017,321.868926
1018,231.15797699999996
1019,122.630011
1020,114.852558
1021,93.365599
1022,138.67165
1023,185.57116200000002
1024,146.05267799999996
1025,174.06847000000002
1026,38.894034
1027,163.65094499999998
1028,146.56156800000002
1029,147.69489800000002
1030,98.14016099999998
1031,97.23489000000001
1032,254.757653
1033,38.096303
1034,266.995246
1035,80.97170500000001
1036,165.60032
1037,273.409447
1038,128.993414
1039,844.901087
1040,37.902421
1041,138.57565699999998
1042,1078.821836
1043,117.49359399999999
1044,144.544824
1045,255.04062100000002
1046,263.158817
1047,88.796515
1048,144.72981
1049,37.989883999999996
1050,32.083522
1051,91.971089
1052,164.40178099999997
1053,92.47782699999999
1054,145.49543
1055,165.46753800000002
1056,68.230996
1057,228.13030599999996
1058,200.892919
1059,373.02772899999997
1060,248.117776
1061,222.135245
1062,248.624057
1063,145.27477900000002
1064,38.575879
1065,110.57002600000001
1066,137.572973
1067,94.014285
1068,162.56746499999997
1069,174.55511800000002
1070,122.80605800000001
1071,157.54462800000002
1072,264.997107
1073,260.325643
1074,68.34791200000001
1075,141.319718
1076,40.888204
1077,950.12124
1078,37.924283
1079,103.71920800000002
1080,181.509784
1081,166.44357300000001
1082,138.66651000000002
1083,118.900714
1084,924.7020660000001
1085,230.26182999999997
1086,845.25656
1087,32.083522
1088,781.744064
1089,102.75925600000001
1090,108.136606
1091,784.1043970000001
1092,99.326855
1093,270.56217499999997
1094,37.999768
1095,248.12110199999998
1096,38.606747
1097,84.96793300000002
1098,121.18518099999999
1099,138.698828
1100,98.957059
1101,38.066984
1102,244.248691
1103,204.61808499999995
1104,107.29855599999999
1105,145.479738
1106,147.490452
1107,160.99851999999998
1108,114.376001
1109,90.66884999999999
1110,211.791134
1111,223.793412
1112,142.519192
1113,37.98994
1114,144.802899
1115,217.64392299999997
1116,787.5559840000001
1117,339.850633
1118,109.988134
1119,79.35058000000001
1120,229.20312800000002
1121,161.608102
1122,96.210587
1123,139.60819999999998
1124,32.083522
1125,790.818051
1126,111.903164
1127,118.705419
1128,103.620622
1129,101.52900600000001
1130,262.679012
1131,250.804952
1132,761.0859700000001
1133,254.055612
1134,201.171539
1135,122.31064800000001
1136,331.324959
1137,128.01297200000002
1138,147.042647
1139,150.339376
1140,764.2235820000001
1141,148.650016
1142,884.986439
1143,143.29550300000002
1144,182.596067
1145,103.169104
1146,131.734888
1147,231.757118
1148,120.36905000000002
1149,96.37839299999999
1150,160.599138
1151,161.688062
1152,257.377535
1153,79.823454
1154,145.092036
1155,269.35029199999997
1156,114.404075
1157,165.206826
1158,90.16690100000001
1159,70.677287
1160,136.215786
1161,32.083522
1162,872.8768689999999
1163,143.42319099999997
1164,126.51202500000001
1165,42.232528
1166,833.307904
1167,88.91451900000001
1168,897.1552220000001
1169,103.141549
1170,136.089773
1171,144.975547
1172,212.799328
1173,32.083522
1174,155.663276
1175,139.553766
1176,831.742023
1177,109.25767499999999
1178,823.1132729999999
1179,81.22314700000001
1180,38.013059
1181,259.097753
1182,159.51225899999997
1183,143.106547
1184,38.006817
1185,344.127859
1186,256.641838
1187,159.398683
1188,848.3291959999999
1189,142.73295199999995
1190,266.64212200000003
1191,94.00889600000001
1192,89.07112900000001
1193,120.942834
1194,153.42833100000001
1195,127.862468
1196,38.017093
1197,127.76605099999999
1198,813.41642
1199,101.44223099999999
1200,166.54891
1201,850.317315
1202,879.9360180000001
1203,169.29263
1204,63.598251999999995
1205,32.083522
1206,239.495498
1207,95.73679400000002
1208,100.914222
1209,95.684061
1210,134.319776
1211,150.649995
1212,145.50646
1213,76.71571800000001
1214,138.378873
1215,146.1437
1216,156.46129200000001
1217,85.93538900000001
1218,96.49046100000001
1219,106.444687
1220,37.957527
1221,829.9504669999999
1222,131.561699
1223,38.073852
1224,206.36727299999995
1225,276.289914
1226,259.107756
1227,834.5642990000001
1228,790.695103
1229,148.548931
1230,32.083522
1231,236.52092799999997
1232,235.78500412
1233,94.841936
1234,101.690411
1235,95.95800600000001
1236,182.745722
1237,32.083522
1238,139.422058
1239,37.974685
1240,122.460712
1241,159.25722299999995
1242,128.030648
1243,91.101349
1244,71.767327
1245,95.90176600000001
1246,184.37073400000003
1247,101.50194200000001
1248,218.24497599999998
1249,235.19284799999997
1250,98.515963
1251,71.37856199999999
1252,262.80505800000003
1253,38.075407
1254,141.36760499999997
1255,799.948881
1256,785.5708
1257,37.982343
1258,184.814196
1259,137.864018
1260,266.39301700000004
1261,328.72906400000005
1262,99.84820800000001
1263,178.01885199999998
1264,38.102412
1265,163.124102
1266,38.122936
1267,71.66484700000001
1268,194.969629
1269,929.85917
1270,112.087529
1271,901.1896610000001
1272,221.15697699999998
1273,130.43639399999998
1274,144.38531
1275,196.64556
1276,239.695519
1277,229.27826499999998
1278,32.083522
1279,38.005487
1280,97.13950700000001
1281,124.181434
1282,173.3024509
1283,143.30327300000002
1284,125.63262300000001
1285,148.902432
1286,257.58051
1287,129.48981799999999
1288,107.99199300000001
1289,38.107306
1290,191.94282399999997
1291,197.679549
1292,38.06163203
1293,38.585519
1294,106.861562
1295,845.427901
1296,350.24143399999997
1297,143.952273
1298,801.6260380000001
1299,136.05699099999998
1300,93.658614
1301,272.713402
1302,231.25225999999998
1303,207.24843899999996
1304,109.13171000000001
1305,135.244147
1306,147.049844
1307,155.78662899999995
1308,46.208352
1309,859.0627609999999
1310,259.184395
1311,94.003582
1312,38.613366
1313,202.34787599999999
1314,153.018452
1315,114.01513299999999
1316,809.213297
1317,120.882574
1318,323.32925
1319,828.1546780000001
1320,169.639675
1321,311.532901
1322,114.864159
1323,146.71962100000002
1324,178.15025099999997
1325,216.76682799999998
1326,324.45506700000004
1327,793.2187570000001
1328,195.37126100000003
1329,151.700537
1330,333.707133
1331,32.083522
1332,95.14346900000001
1333,148.29889399999996
1334,85.524981
1335,112.89975899999999
1336,798.881815
1337,124.67470200000001
1338,105.68097
1339,258.16100900000004
1340,139.86452499999996
1341,238.865432
1342,32.083522
1343,846.1894279999999
1344,125.064012
1345,257.801059
1346,125.91861800000001
1347,136.341405
1348,163.53614000000002
1349,145.64414
1350,140.317709
1351,159.014958
1352,846.6595360000001
1353,102.839633
1354,226.461543
1355,161.097936
1356,149.542718
1357,123.77715599999999
1358,104.33050599999999
1359,186.009271
1360,138.380143
1361,287.56277600000004
1362,232.64108999999996
1363,259.80631600000004
1364,248.74184699999998
1365,111.40588899999999
1366,169.274741
1367,130.62292200000002
1368,73.95389600000001
1369,150.381857
1370,149.615697
1371,146.489375
1372,837.288669
1373,113.204804
1374,134.638795
1375,148.85688599999997
1376,145.63732700000003
1377,278.350879
1378,172.63893
1379,112.02156399999998
1380,93.822804
1381,32.083522
1382,115.087571
1383,889.37691
1384,384.7568
1385,310.085884
1386,140.27360799999997
1387,136.29118
1388,105.45276199999999
1389,137.87715100000003
1390,38.670638
1391,306.40752699999996
1392,38.711252
1393,789.673458
1394,174.10369500000002
1395,123.70048299999999
1396,142.05947500000002
1397,70.998132
1398,128.235153
1399,395.85007199999995
1400,111.917359
1401,121.133567
1402,106.66959000000001
1403,149.828894
1404,94.47607200000002
1405,220.89311999999998
1406,164.01310999999998
1407,801.405229
1408,779.0044419999999
1409,38.102165
1410,197.45528000000002
1411,108.26314900000001
1412,121.77270800000001
1413,262.57584299999996
1414,131.663929
1415,127.55706599999999
1416,140.45090199999999
1417,109.333352
1418,142.58272100000002
1419,342.68183799999997
1420,75.18818200000001
1421,85.89594299999999
1422,81.11237600000001
1423,112.00067900000002
1424,225.15222100000003
1425,125.814164
1426,106.614453
1427,302.996895
1428,116.672091
1429,145.41918700000002
1430,823.7001359999999
1431,783.82356
1432,32.083522
1433,156.62840200000002
1434,151.00449499999996
1435,114.488539
1436,111.303845
1437,106.62147299999998
1438,240.38543999999996
1439,167.579088
1440,147.408813
1441,121.75936199999998
1442,134.960469
1443,91.72589200000002
1444,835.3348020000001
1445,827.31617
1446,65.750007
1447,809.250757
1448,143.446436
1449,149.884362
1450,100.91521999999999
1451,130.383254
1452,120.50267399999998
1453,83.367199
1454,250.601861
1455,38.002976000000004
1456,149.32226699999995
1457,150.12921699999998
1458,875.072564
1459,142.05124600000002
1460,217.34076399999998
1461,808.0441639999999
1462,132.305271
1463,232.71051999999997
1464,89.96511600000001
1465,113.26680499999999
1466,140.34054899999995
1467,172.54862300000002
1468,32.083522
1469,202.76940099999996
1470,798.3709510000001
1471,38.001334
1472,943.364667
1473,115.24167200000002
1474,150.72806500000002
1475,872.8072090000001
1476,118.89118500000001
1477,209.682368
1478,101.40586299999998
1479,201.12850200000003
1480,272.27595
1481,41.803623
1482,121.17019
1483,150.12752500000002
1484,263.21351300000003
1485,139.150081
1486,821.4832100000001
1487,106.32873899999998
1488,224.84327199999996
1489,174.994958
1490,168.75979400000003
1491,71.902729
1492,81.14758900000001
1493,298.580868
1494,186.8265
1495,955.477513
1496,156.027928
1497,37.986549
1498,115.32922399999998
1499,792.4797490000001
1500,119.88233000000001
1501,791.2288470000001
1502,795.9963620000001
1503,119.681484
1504,73.44793899999999
1505,82.088267
1506,38.083774
1507,145.671089
1508,111.69235700000002
1509,105.751988
1510,129.011133
1511,127.13418199999998
1512,112.632566
1513,37.969575999999996
1514,421.143049
1515,257.972431
1516,816.1534670000001
1517,127.827751
1518,66.38405599999999
1519,119.66481900000001
1520,87.03495600000001
1521,176.580346
1522,897.351651
1523,125.541872
1524,187.341623
1525,144.114773
1526,138.190954
1527,131.697776
1528,72.60734199999999
1529,38.102028
1530,192.45719200000002
1531,112.71887800000002
1532,75.67013299999999
1533,86.808067
1534,147.14288800000003
1535,146.466102
1536,266.652413
1537,120.82718400000002
1538,113.372482
1539,182.054709
1540,228.26734699999997
1541,237.67167999999998
1542,801.127088
1543,801.468376
1544,784.2275159999999
1545,37.969571
1546,169.927574
1547,152.329233
1548,208.88497999999998
1549,97.742348
1550,102.160025
1551,215.78695899999997
1552,242.23400299999997
1553,38.088255
1554,904.3243809999999
1555,108.795253
1556,124.698974
1557,349.547531
1558,106.934901
1559,77.739769
1560,110.65961300000001
1561,216.997943
1562,294.993308
1563,124.93886900000001
1564,250.73450599999998
1565,90.99305799999999
1566,104.22877500000001
1567,114.712137
1568,124.933947
1569,791.801158
1570,149.186136
1571,884.6044670000001
1572,137.49280900000002
1573,133.069877
1574,96.885028
1575,103.65528200000001
1576,83.45439100000002
1577,32.083522
1578,110.518429
1579,769.39237
1580,138.27743600000002
1581,158.263337
1582,260.69007200000004
1583,802.629899
1584,66.71720400000001
1585,150.34012099999995
1586,254.436756
1587,92.908288
1588,151.20306599999998
1589,269.299983
1590,134.33070499999997
1591,143.32732299999998
1592,152.032516
1593,854.4388550000001
1594,208.89415699999998
1595,806.2779700000001
1596,283.553572
1597,32.083522
1598,79.95164299999999
1599,186.77254599999998
1600,268.74383900000004
1601,123.537645
1602,153.29112500000002
1603,38.030275
1604,169.04963
1605,137.13520300000002
1606,266.768901
1607,821.172411
1608,241.61311599999996
1609,113.15512299999997
1610,107.62535500000001
1611,235.966702
1612,107.221253
1613,141.37012800000002
1614,330.40398600000003
1615,789.729126
1616,275.21901
1617,244.97817199999997
1618,207.66448400000002
1619,142.185341
1620,117.90582500000001
